date,COAL,URANIUM,BIOMASS,GAS,OIL,GEOTHERMAL,WIND,SOLAR,HYDRO,ENERGY_DEMAND,MAX_ENERGY_PRICE,COAL_PRICE,URANIUM_PRICE,BIOMASS_PRICE,GAS_PRICE,OIL_PRICE
2011-11-06 03:30:00,1854,-1036,-965,-9908,-260,457453,204888,0,934784,787218,1200591,1015590,1048359,497511,1199784,930137
2011-11-06 04:30:00,2723,-602,-2908,-9054,701,457453,204888,0,927547,779406,1211277,1015672,1048840,497186,1199264,930291
2011-11-06 05:30:00,2848,-470,-1738,-10136,1076,457453,204888,0,931768,784814,1203853,1015754,1049321,496860,1198743,930446
2011-11-06 06:30:00,3336,-2130,-114,-7704,3427,457453,204888,0,931165,808851,1172231,1015835,1049801,496535,1198223,930600
2011-11-06 07:30:00,2939,-3389,374,-5796,3114,457453,204888,0,932974,827480,1149168,1015917,1050282,496210,1197703,930755
2011-11-06 08:30:00,2655,-4637,1369,-6863,2508,457453,204888,0,939608,855123,1117053,1015999,1050762,495885,1197183,930910
2011-11-06 09:30:00,3176,-4414,83,-6760,1789,548944,204888,0,940211,886371,1083486,1016081,1051243,495560,1196662,931064
2011-11-06 10:30:00,4350,-4297,-286,-7129,1542,548944,204888,0,940814,819067,1159435,1016162,1051723,495235,1196142,931219
2011-11-06 11:30:00,5155,-4114,-117,-7486,-65,548944,204888,0,940211,852719,1119751,1016244,1052204,494910,1195622,931373
2011-11-06 12:30:00,5727,-2134,1402,-6616,197,548944,204888,0,939608,866540,1104468,1016326,1052685,494585,1195101,931528
2011-11-06 13:30:00,6492,-2671,-116,-6463,1830,548944,204888,3363384,939608,859930,1111708,1016408,1053165,494259,1194581,931683
2011-11-06 14:30:00,5831,-2198,-136,-6988,859,457453,204888,6024225,932371,859930,1111708,1016490,1053646,493934,1194061,931837
2011-11-06 15:30:00,5293,-1438,-44,-5869,3218,457453,204888,8153440,925134,852118,1120429,1016571,1054126,493609,1193541,931992
2011-11-06 16:30:00,6368,-978,-148,-5209,2367,548944,204888,9260904,922722,859329,1112372,1016653,1054607,493284,1193020,932146
