Date,Temp,Rain,Wind,UV,Energy,River
2015-05-02 19:30:00,21.0,1.4,0.1,41.463,1362.0,15.27
2015-05-02 20:30:00,20.6,1.5,0.1,32.8613,1347.0,15.28
2015-05-02 21:30:00,19.6,1.5,0.1,16.6177,1401.0,15.29
2015-05-02 22:30:00,17.400000000000002,1.6,0.1,11.1994,1389.0,15.39
2015-05-02 23:30:00,15.8,1.6,0.1,0.0,1311.0,15.46
2015-05-03 00:30:00,12.6,1.6,0.7000000000000001,0.0,1214.0,15.43
2015-05-03 01:30:00,12.2,1.5,0.9,0.0,1138.0,15.41
2015-05-03 02:30:00,12.1,1.5,1.0,0.0,1100.0,15.43
2015-05-03 03:30:00,11.9,1.5,1.0,0.0,1070.0,15.44
2015-05-03 04:30:00,11.3,1.6,1.0,0.0,1062.0,15.41
2015-05-03 05:30:00,10.0,1.6,0.8,0.0,1065.0,15.41
2015-05-03 06:30:00,8.700000000000001,1.6,0.4,0.0,1077.0,15.49
2015-05-03 07:30:00,8.1,1.6,0.1,0.0,1084.0,15.42
2015-05-03 08:30:00,7.7,1.6,0.1,0.0,1108.0,15.39
2015-05-03 09:30:00,7.4,1.6,0.1,0.0,1179.0,15.69
2015-05-03 10:30:00,8.5,1.5,0.1,0.0,1227.0,15.34
2015-05-03 11:30:00,11.0,1.5,0.1,4.4172,1264.0,15.38
2015-05-03 12:30:00,14.3,1.5,0.1,18.991,1297.0,15.39
2015-05-03 13:30:00,18.0,1.4,0.1,31.5567,1338.0,15.4
2015-05-03 14:30:00,20.6,1.5,0.1,42.7821,1331.0,15.39
2015-05-03 15:30:00,22.0,1.5,0.1,51.7488,1344.0,15.4
2015-05-03 16:30:00,22.8,1.6,0.1,48.4779,1358.0,15.4
2015-05-03 17:30:00,23.1,1.7000000000000002,0.1,24.2331,1372.0,15.41
2015-05-03 18:30:00,23.1,1.7000000000000002,0.1,44.1194,1385.0,15.42
2015-05-03 19:30:00,23.0,1.8,0.1,24.2071,1383.0,15.45
2015-05-03 20:30:00,22.6,1.8,0.1,17.3697,1381.0,15.3
2015-05-03 21:30:00,21.6,1.8,0.1,13.3175,1431.0,15.28
2015-05-03 22:30:00,19.1,1.7000000000000002,0.1,13.5516,1409.0,15.24
2015-05-03 23:30:00,17.3,1.7000000000000002,0.1,0.0,1373.0,15.28
2015-05-04 00:30:00,13.6,1.6,0.1,0.0,1274.0,15.25
2015-05-04 01:30:00,12.8,1.6,0.1,0.0,1186.0,15.28
2015-05-04 02:30:00,12.3,1.6,0.1,0.0,1146.0,15.27
2015-05-04 03:30:00,11.9,1.5,0.1,0.0,1124.0,15.27
2015-05-04 04:30:00,11.5,1.5,0.1,0.0,1115.0,15.28
2015-05-04 05:30:00,11.0,1.5,0.1,0.0,1127.0,15.29
2015-05-04 06:30:00,10.4,1.6,0.1,0.0,1207.0,15.28
2015-05-04 07:30:00,9.9,1.7000000000000002,0.1,0.0,1313.0,15.26
2015-05-04 08:30:00,9.8,1.8,0.1,0.0,1402.0,15.25
2015-05-04 09:30:00,9.6,1.8,0.1,0.0,1491.0,15.26
2015-05-04 10:30:00,10.5,1.9,0.1,0.0,1549.0,15.26
2015-05-04 11:30:00,12.9,1.9,0.1,6.1533,1623.0,15.2
2015-05-04 12:30:00,16.1,2.0,0.1,14.0401,1663.0,15.26
2015-05-04 13:30:00,19.4,2.0,0.1,31.3019,1673.0,15.19
2015-05-04 14:30:00,21.9,2.2,0.2,42.2173,1724.0,15.25
2015-05-04 15:30:00,23.4,2.3000000000000003,0.2,50.9281,1732.0,15.25
2015-05-04 16:30:00,24.4,2.4000000000000004,0.2,55.9278,1776.0,15.26
2015-05-04 17:30:00,25.0,2.6,0.2,50.07,1745.0,15.27
2015-05-04 18:30:00,25.1,2.8000000000000003,0.2,47.595,1727.0,15.27
2015-05-04 19:30:00,24.1,3.1,0.2,40.7802,1707.0,15.26
2015-05-04 20:30:00,22.4,3.2,0.1,24.7618,1687.0,15.24
2015-05-04 21:30:00,21.0,3.2,0.1,12.6107,1703.0,15.28
2015-05-04 22:30:00,19.8,3.2,0.1,10.6233,1651.0,15.29
2015-05-04 23:30:00,19.0,3.2,0.1,0.0,1538.0,15.21
2015-05-05 00:30:00,17.1,3.3000000000000003,0.1,0.0,1420.0,15.18
2015-05-05 01:30:00,16.6,3.3000000000000003,0.1,0.0,1331.0,15.16
2015-05-05 02:30:00,16.1,3.3000000000000003,0.1,0.0,1282.0,15.16
2015-05-05 03:30:00,15.9,3.3000000000000003,0.1,0.0,1256.0,15.17
2015-05-05 04:30:00,15.9,3.4000000000000004,0.1,0.0,1230.0,15.2
2015-05-05 05:30:00,15.7,3.6,0.1,0.0,1235.0,15.17
2015-05-05 06:30:00,15.3,3.7,0.1,0.0,1341.0,15.12
2015-05-05 07:30:00,15.0,3.7,0.1,0.0,1435.0,15.08
2015-05-05 08:30:00,14.8,3.7,0.2,0.0,1543.0,15.05
2015-05-05 09:30:00,14.7,3.5,0.4,0.0,1617.0,15.09
2015-05-05 10:30:00,15.0,3.4000000000000004,0.3,0.0,1651.0,15.05
2015-05-05 11:30:00,16.2,3.3000000000000003,0.1,0.4814,1705.0,15.07
2015-05-05 12:30:00,18.2,3.3000000000000003,0.1,0.4245,1704.0,15.12
2015-05-05 13:30:00,19.9,3.4000000000000004,0.1,9.8191,1752.0,15.08
2015-05-05 14:30:00,20.1,3.5,0.1,18.2299,1747.0,15.09
2015-05-05 15:30:00,19.5,3.6,0.1,21.1034,1740.0,15.08
2015-05-05 16:30:00,19.3,3.6,0.1,26.9986,1742.0,15.06
2015-05-05 17:30:00,19.9,3.6,0.1,35.6099,1767.0,14.99
2015-05-05 18:30:00,20.9,3.4000000000000004,0.1,15.4858,1728.0,14.96
2015-05-05 19:30:00,21.700000000000003,3.3000000000000003,0.1,39.96,1718.0,14.88
2015-05-05 20:30:00,22.0,3.3000000000000003,0.1,19.9488,1719.0,14.86
2015-05-05 21:30:00,21.8,3.3000000000000003,0.1,8.747,1740.0,14.88
2015-05-05 22:30:00,20.8,3.2,0.2,5.5989,1697.0,14.88
2015-05-05 23:30:00,20.0,3.2,0.3,0.0,1584.0,14.91
2015-05-06 00:30:00,17.5,3.2,0.7000000000000001,0.0,1448.0,14.92
2015-05-06 01:30:00,16.1,3.3000000000000003,0.6000000000000001,0.0,1361.0,14.92
2015-05-06 02:30:00,15.5,3.4000000000000004,0.4,0.0,1307.0,14.92
2015-05-06 03:30:00,15.3,3.5,0.4,0.0,1262.0,14.93
2015-05-06 04:30:00,15.1,3.4000000000000004,0.4,0.0,1244.0,14.94
2015-05-06 05:30:00,14.9,3.4000000000000004,0.4,0.0,1264.0,15.02
2015-05-06 06:30:00,14.7,3.4000000000000004,0.6000000000000001,0.0,1325.0,15.08
2015-05-06 07:30:00,14.6,3.3000000000000003,0.5,0.0,1441.0,15.1
2015-05-06 08:30:00,14.3,3.2,0.5,0.0,1521.0,15.08
2015-05-06 09:30:00,13.6,3.1,0.5,0.0,1621.0,15.16
2015-05-06 10:30:00,14.1,3.1,0.3,0.0,1669.0,15.13
2015-05-06 11:30:00,16.0,3.1,0.1,4.8198,1748.0,15.16
2015-05-06 12:30:00,18.0,3.1,0.1,18.4911,1830.0,15.11
2015-05-06 13:30:00,19.6,3.2,0.1,24.1425,1847.0,15.07
2015-05-06 14:30:00,21.1,3.3000000000000003,0.0,40.9669,1920.0,15.11
2015-05-06 15:30:00,22.9,3.3000000000000003,0.0,49.2811,1914.0,14.99
2015-05-06 16:30:00,23.9,3.3000000000000003,0.1,54.1981,1936.0,14.88
2015-05-06 17:30:00,24.200000000000003,3.3000000000000003,0.1,49.5519,1983.0,14.77
2015-05-06 18:30:00,24.1,3.3000000000000003,0.1,44.347,1953.0,14.71
2015-05-06 19:30:00,24.1,3.3000000000000003,0.1,45.9005,1908.0,14.7
2015-05-06 20:30:00,24.4,3.3000000000000003,0.1,26.5359,1842.0,14.71
2015-05-06 21:30:00,24.6,3.2,0.1,21.8872,1863.0,14.72
2015-05-06 22:30:00,23.8,3.0,0.2,13.5588,1814.0,14.71
2015-05-06 23:30:00,22.9,2.9000000000000004,0.4,0.0,1684.0,14.73
2015-05-07 00:30:00,21.3,2.7,0.6000000000000001,0.0,1563.0,14.72
2015-05-07 01:30:00,19.700000000000003,2.6,0.7000000000000001,0.0,1440.0,14.68
2015-05-07 02:30:00,18.0,2.5,0.8,0.0,1348.0,14.7
2015-05-07 03:30:00,16.8,2.4000000000000004,0.7000000000000001,0.0,1326.0,14.72
2015-05-07 04:30:00,16.1,2.4000000000000004,0.7000000000000001,0.0,1294.0,14.72
2015-05-07 05:30:00,15.3,2.3000000000000003,0.7000000000000001,0.0,1321.0,14.72
2015-05-07 06:30:00,14.3,2.3000000000000003,0.6000000000000001,0.0,1373.0,14.74
