date,COAL,URANIUM,BIOMASS,GAS,OIL,GEOTHERMAL,WIND,SOLAR,HYDRO,ENERGY_DEMAND,MAX_ENERGY_PRICE
2016-03-13 04:30:00,300038,500038,100038,200038,50038,123214,12500,0,151859,3200791,979
2016-03-13 05:30:00,300036,500036,100036,200036,50036,128571,12500,0,151239,3178167,982
2016-03-13 06:30:00,300035,500035,100035,200035,50035,128571,12500,0,152479,3246040,975
2016-03-13 07:30:00,300034,500034,100034,200034,50034,133928,9374,0,151859,3285633,971
2016-03-13 08:30:00,300034,500034,100034,200034,50034,133928,12500,0,152479,3401583,959
2016-03-13 09:30:00,300034,500034,100034,200034,50034,133928,15625,0,153099,3463800,953
2016-03-13 10:30:00,300033,500033,100033,200033,50033,133928,15625,0,153719,3622171,937
2016-03-13 11:30:00,300032,500032,100032,200032,50032,133928,18750,0,153099,3732466,926
2016-03-13 12:30:00,300034,500034,100034,200034,50034,139285,25000,0,154338,3834276,916
2016-03-13 13:30:00,300036,500036,100036,200036,50036,144642,25000,25629,156818,3842760,915
2016-03-13 14:30:00,300037,500037,100037,200037,50037,144642,25000,42692,161776,3848416,915
2016-03-13 15:30:00,300038,500038,100038,200038,50038,139285,25000,56946,158677,3865384,913
2016-03-13 16:30:00,300040,500040,100040,200040,50040,133928,28125,55705,165495,3868212,913
2016-03-13 17:30:00,300043,500043,100043,200043,50043,128571,31250,55396,165495,3902149,909
2016-03-13 18:30:00,300046,500046,100046,200046,50046,128571,31250,55794,165495,4003959,899
2016-03-13 19:30:00,300047,500047,100047,200047,50047,133928,31250,21678,166115,3984162,901
2016-03-13 20:30:00,300046,500046,100046,200046,50046,133928,31250,11751,166735,4105769,889
2016-03-13 21:30:00,300043,500043,100043,200043,50043,128571,28125,18313,166115,4167986,883
2016-03-13 22:30:00,300040,500040,100040,200040,50040,128571,28125,0,168595,4046380,895
2016-03-13 23:30:00,300038,500038,100038,200038,50038,133928,28125,0,174793,3876696,912
