date,COAL,URANIUM,BIOMASS,GAS,OIL,GEOTHERMAL,WIND,SOLAR,HYDRO,ENERGY_DEMAND,MAX_ENERGY_PRICE,COAL_PRICE,URANIUM_PRICE,BIOMASS_PRICE,GAS_PRICE,OIL_PRICE
2011-03-13 04:30:00,999927,999151,1000605,1000101,999771,367123,3868563,0,1342772,746447,746447,988358,1083444,2315676,911069,1044368
2011-03-13 05:30:00,999822,999038,1000716,999980,999543,326332,3384993,0,1336393,745281,745281,988481,1082537,2313347,911200,1044371
2011-03-13 06:30:00,1000019,999175,1000795,999998,999246,326332,2901422,0,1333203,754612,754612,988603,1081630,2311018,911331,1044374
2011-03-13 07:30:00,1000227,999119,1000575,999994,999059,326332,2901422,0,1330652,762193,762193,988725,1080723,2308690,911462,1044377
2011-03-13 08:30:00,1000149,999187,1000471,999896,999057,326332,2901422,0,1327462,786685,786685,988847,1079816,2306361,911592,1044380
2011-03-13 09:30:00,1000051,999361,1000467,999761,999162,326332,2901422,0,1325548,818176,818176,988970,1078909,2304033,911723,1044384
2011-03-13 10:30:00,1000136,999209,1000535,999725,999392,326332,2901422,0,1322997,856665,856665,989092,1078002,2301704,911854,1044387
2011-03-13 11:30:00,1000090,999194,1000450,999741,999388,326332,2901422,0,1323635,884074,884074,989214,1077095,2299375,911985,1044390
2011-03-13 12:30:00,1000040,999198,1000406,999887,999227,326332,3384993,0,1322997,907400,907400,989336,1076188,2297047,912116,1044393
2011-03-13 13:30:00,1000115,999094,1000295,999977,999207,326332,3868563,87092,1323635,920813,920813,989459,1075280,2294718,912247,1044396
2011-03-13 14:30:00,1000203,999060,1000067,1000082,999283,326332,4352134,266195,1321721,934226,934226,989581,1074373,2292389,912378,1044399
2011-03-13 15:30:00,1000158,999218,1000037,1000193,999350,326332,4352134,518199,1321721,935392,935392,989703,1073466,2290061,912509,1044402
2011-03-13 16:30:00,1000193,999114,1000062,1000153,999313,326332,4352134,711751,1321083,928394,928394,989825,1072559,2287732,912640,1044405
2011-03-13 17:30:00,1000087,999223,1000083,1000173,999300,326332,4352134,689715,1320445,934226,934226,989948,1071652,2285404,912770,1044409
2011-03-13 18:30:00,1000091,998949,1000321,1000305,999105,326332,4352134,533782,1319807,947055,947055,990070,1070745,2283075,912901,1044412
2011-03-13 19:30:00,1000190,998913,1000335,1000243,999192,326332,3868563,697632,1318531,956969,956969,990192,1069838,2280746,913032,1044415
2011-03-13 20:30:00,1000271,999004,1000356,1000110,999160,285540,3384993,379456,1317894,986710,986710,990314,1068931,2278418,913163,1044418
2011-03-13 21:30:00,1000053,999039,1000248,999959,999211,285540,2417852,109949,1316618,1003622,1003622,990437,1068024,2276089,913294,1044421
2011-03-13 22:30:00,1000066,999109,1000181,999903,999251,285540,1450711,0,1317256,987293,987293,990559,1067117,2273761,913425,1044424
2011-03-13 23:30:00,1000082,999090,1000145,999787,999329,285540,1450711,0,1317256,940640,940640,990681,1066210,2271432,913556,1044427
2011-03-14 00:30:00,999970,999125,1000037,999859,999252,285540,1450711,0,1317894,899236,899236,990803,1065303,2269103,913687,1044431
2011-03-14 01:30:00,999948,999095,1000137,999845,999235,285540,1450711,0,1317256,849667,849667,990933,1064273,2266831,913824,1044407
2011-03-14 02:30:00,999974,998926,1000280,999793,999360,285540,1450711,0,1318531,826341,826341,991071,1063121,2264616,913967,1044358
2011-03-14 03:30:00,1000101,998988,1000414,999865,999353,285540,1450711,0,1318531,822842,822842,991216,1061847,2262458,914116,1044282
2011-03-14 04:30:00,1000162,999145,1000329,999686,999137,285540,1450711,0,1319169,810595,810595,991369,1060450,2260356,914271,1044181
2011-03-14 05:30:00,1000096,999223,1000171,999645,999301,285540,1450711,0,1318531,825757,825757,991529,1058930,2258312,914433,1044052
2011-03-14 06:30:00,1000040,999124,1000188,999438,999499,285540,1450711,0,1317256,870078,870078,991697,1057288,2256323,914600,1043898
2011-03-14 07:30:00,999869,999149,1000239,999366,999519,285540,1450711,0,1317256,945306,945306,991873,1055523,2254392,914774,1043717
2011-03-14 08:30:00,1000029,999004,1000161,999437,999502,244749,1450711,0,1315342,1031030,1031030,992056,1053636,2252517,914954,1043510
2011-03-14 09:30:00,1000074,999000,1000067,999668,999480,244749,1450711,0,1314066,1034529,1034529,992247,1051627,2250700,915140,1043277
2011-03-14 10:30:00,1000182,999102,1000110,999621,999550,244749,1450711,0,1314066,1041527,1041527,992446,1049495,2248939,915332,1043018
2011-03-14 11:30:00,1000304,999103,1000147,999698,999643,203957,1934281,0,1310239,1044443,1044443,992652,1047240,2247234,915530,1042732
2011-03-14 12:30:00,1000343,999001,999930,999667,999774,203957,2417852,0,1311515,1040361,1040361,992866,1044863,2245587,915734,1042420
2011-03-14 13:30:00,1000226,998935,999926,999778,999768,203957,2901422,533229,1309601,1032780,1032780,993088,1042363,2243996,915944,1042082
2011-03-14 14:30:00,1000068,998954,1000111,999736,999628,203957,2901422,1921416,1306411,1006538,1006538,993317,1039741,2242462,916160,1041718
2011-03-14 15:30:00,999850,999082,1000176,999701,999602,203957,2417852,2363563,1305136,1007121,1007121,993554,1036997,2240984,916383,1041327
2011-03-14 16:30:00,999775,999255,1000080,999824,999591,203957,2417852,4081716,1302584,979129,979129,993799,1034129,2239564,916612,1040910
2011-03-14 17:30:00,999843,999227,1000126,999960,999643,203957,2417852,3478664,1301308,970965,970965,994051,1031140,2238200,916846,1040467
2011-03-14 18:30:00,999885,999764,1000001,999927,999719,203957,1934281,3122297,1303222,970382,970382,994310,1028028,2236893,917087,1039997
2011-03-14 19:30:00,1000000,999755,1000078,999928,999560,203957,1450711,2573047,1300670,973297,973297,994578,1024793,2235642,917334,1039501
