date,COAL,URANIUM,BIOMASS,GAS,OIL,GEOTHERMAL,WIND,SOLAR,HYDRO,ENERGY_DEMAND,MAX_ENERGY_PRICE
2009-05-05 08:30:00,300023,500023,100023,200023,50023,90000,4166,0,293543,4446225,855
2009-05-05 09:30:00,300023,500023,100023,200023,50023,96000,4166,0,289569,4726786,827
2009-05-05 10:30:00,300023,500023,100023,200023,50023,96000,4166,0,293543,4867067,813
2009-05-05 11:30:00,300027,500027,100027,200027,50027,96000,4166,12259,295529,4943887,805
2009-05-05 12:30:00,300033,500033,100033,200033,50033,96000,8333,29462,300000,5017368,798
2009-05-05 13:30:00,300040,500040,100040,200040,50040,96000,8333,18759,298509,5020708,797
2009-05-05 14:30:00,300044,500044,100044,200044,50044,102000,8333,44967,299006,4983967,801
2009-05-05 15:30:00,300046,500046,100046,200046,50046,102000,8333,51006,297516,4920507,807
2009-05-05 16:30:00,300046,500046,100046,200046,50046,114000,8333,45579,294536,4877087,812
2009-05-05 17:30:00,300046,500046,100046,200046,50046,114000,8333,50316,292052,4833667,816
2009-05-05 18:30:00,300049,500049,100049,200049,50049,120000,8333,28998,290066,4790247,820
2009-05-05 19:30:00,300048,500048,100048,200048,50048,126000,4166,40578,286092,4733466,826
2009-05-05 20:30:00,300045,500045,100045,200045,50045,132000,4166,17842,282119,4666666,833
2009-05-05 21:30:00,300042,500042,100042,200042,50042,132000,4166,8843,278642,4756847,824
2009-05-05 22:30:00,300039,500039,100039,200039,50039,126000,4166,2657,273178,4643286,835
2009-05-05 23:30:00,300038,500038,100038,200038,50038,126000,4166,0,270695,4305945,869
2009-05-06 00:30:00,300033,500033,100033,200033,50033,120000,4166,0,266225,3905143,909
2009-05-06 01:30:00,300032,500032,100032,200032,50032,114000,4166,0,261258,3651302,934
2009-05-06 02:30:00,300031,500031,100031,200031,50031,114000,4166,0,258278,3524382,947
2009-05-06 03:30:00,300030,500030,100030,200030,50030,108000,4166,0,252814,3427521,957
2009-05-06 04:30:00,300029,500029,100029,200029,50029,108000,4166,0,249834,3424181,957
2009-05-06 05:30:00,300028,500028,100028,200028,50028,102000,8333,0,246854,3490981,950
2009-05-06 06:30:00,300026,500026,100026,200026,50026,96000,16666,0,240397,3704742,929
2009-05-06 07:30:00,300025,500025,100025,200025,50025,83999,16666,0,237417,4162324,883
2009-05-06 08:30:00,300024,500024,100024,200024,50024,78000,16666,0,230960,4526386,847
2009-05-06 09:30:00,300024,500024,100024,200024,50024,72000,12499,0,224006,4780227,821
2009-05-06 10:30:00,300028,500028,100028,200028,50028,66000,4166,0,217549,4850367,814
2009-05-06 11:30:00,300033,500033,100033,200033,50033,66000,4166,3126,200165,4913827,808
2009-05-06 12:30:00,300039,500039,100039,200039,50039,72000,4166,4959,187748,4987307,801
2009-05-06 13:30:00,300046,500046,100046,200046,50046,78000,4166,11499,185761,5110888,788
2009-05-06 14:30:00,300050,500050,100050,200050,50050,90000,4166,26322,186754,5144288,785
2009-05-06 15:30:00,300052,500052,100052,200052,50052,102000,4166,52076,186258,5134268,786
2009-05-06 16:30:00,300054,500054,100054,200054,50054,120000,4166,89165,180794,5087508,791
2009-05-06 17:30:00,300055,500055,100055,200055,50055,132000,4166,71199,176821,4963927,803
2009-05-06 18:30:00,300055,500055,100055,200055,50055,150000,4166,40630,176821,4933867,806
2009-05-06 19:30:00,300053,500053,100053,200053,50053,162000,4166,20533,177317,4857047,814
2009-05-06 20:30:00,300050,500050,100050,200050,50050,174000,4166,8834,181291,4860387,813
2009-05-06 21:30:00,300047,500047,100047,200047,50047,180000,8333,4995,184271,4887107,811
2009-05-06 22:30:00,300045,500045,100045,200045,50045,186000,8333,1774,184271,4756847,824
2009-05-06 23:30:00,300045,500045,100045,200045,50045,192000,8333,0,179801,4356045,864
2009-05-07 00:30:00,300044,500044,100044,200044,50044,203999,8333,0,176821,4022044,897
2009-05-07 01:30:00,300045,500045,100045,200045,50045,203999,8333,0,178311,3661322,933
2009-05-07 02:30:00,300047,500047,100047,200047,50047,180000,8333,0,179304,3531062,946
2009-05-07 03:30:00,300047,500047,100047,200047,50047,150000,8333,0,179304,3454241,954
2009-05-07 04:30:00,300043,500043,100043,200043,50043,132000,8333,0,182781,3410821,958
